Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Emptying,86.5,47.2,6,64.6,31,86.2,48.6,Silvertop-a,Mixed
Non Emptying,71.2,65.6,5,72.4,32.5,96.7,55.3,Cubic,Recyclable
Non Emptying,52.4,32.9,3,37.2,21.5,61.1,52.4,Lindstrom-b,Recyclable
Emptying,71.6,43.1,8,70,66,99.3,53.8,Diamond,Recyclable
Emptying,74.6,31.9,7,76.6,34.5,79,49.4,Rectangular Farmland,Recyclable
Emptying,94.1,60.4,6,92.9,65.3,73.1,34.6,Lindstrom-b,Recyclable
Non Emptying,30.4,23.9,5,55.4,34.5,65.5,51.4,Lindstrom City,Mixed
Non Emptying,62.5,56.4,1,62.3,50.3,76.4,30.4,Cubic,Non Recyclable
Non Emptying,61.4,52.1,5,94.1,52.2,70.7,60.6,Diamond,Mixed
Non Emptying,34.8,26.2,1,52.6,32.7,72.4,31.9,Fiberglass Igloo-a,Recyclable
Non Emptying,53.4,32.2,3,53,31.3,60.1,50.3,Lindstrom City,Recyclable
Non Emptying,70,35.2,8,30.2,26.2,90.6,52.9,Silvertop-b,Mixed
Emptying,97.4,56.6,7,50,38.9,34,26.1,Rectangular,Recyclable
Non Emptying,84,51.9,8,31.5,23.7,61.2,32,Diamond,Recyclable
Emptying,87.7,43.8,7,30.4,26.7,76.7,67.8,Silvertop-b,Non Recyclable
Emptying,60.6,26.7,7,31.8,22.1,71.8,33.7,Silvertop-b,Recyclable
Non Emptying,72.8,32,9,67.2,57.9,75.8,60.3,Lindstrom City,Recyclable
Non Emptying,31.2,27.6,3,84.7,57.5,76.2,40.5,Rectangular,Recyclable
Emptying,96.5,65.6,6,58.9,30.7,62.7,27.8,Silvertop-b,Mixed
Emptying,66.5,23.5,7,72.1,45.2,93.3,65.3,Malmobehallare,Recyclable
Non Emptying,30.2,20.8,3,82.4,41.8,83.7,55.3,Rectangular Farmland,Recyclable
Emptying,73.3,35.6,7,67.9,36.7,50.1,37.7,Silvertop-b,Non Recyclable
Emptying,66.7,24.9,9,96.3,57,51.9,35.7,Silvertop-a,Mixed
Non Emptying,63.6,29.5,6,31.2,27.2,35.4,24.8,Rectangular Farmland,Recyclable
Emptying,78.3,41.8,6,55,37.7,60,55.3,Lindstrom-a,Recyclable
Non Emptying,99.3,59.6,7,61.3,36.6,91.4,62.4,Malmobehallare,Recyclable
Emptying,61.8,33.5,6,31,24,84.1,40.2,Lindstrom-b,Non Recyclable
Non Emptying,30.8,26.7,4,67.5,27.6,30.9,21,Fiberglass Igloo-b,Non Recyclable
Non Emptying,64.5,53.4,3,90.9,57.6,88.3,42.2,Silvertop-b,Recyclable
Non Emptying,33.7,25.1,2,61.2,50.3,58.2,34.3,Silvertop-b,Mixed
Non Emptying,51.1,34.2,1,78.7,65.5,92.8,53.1,Fiberglass Igloo-a,Recyclable
Non Emptying,76.5,62.4,3,79.3,64.4,94.2,50.9,Lindstrom-b,Recyclable
Non Emptying,73.2,64.5,2,35.4,24.1,93.8,58.3,Diamond,Mixed
Emptying,74.9,48.5,9,68.1,39.8,79.2,42.5,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,52,31.6,1,62.2,22.9,78.9,62.3,Lindstrom City,Recyclable
Non Emptying,72.3,61.9,5,93.2,50.4,55.4,36.2,Silvertop-b,Non Recyclable
Non Emptying,71.4,65.8,3,92.6,51.4,64.4,54.2,Diamond,Non Recyclable
Emptying,98.9,69.3,8,53.1,34.1,52.6,31.2,Lindstrom City,Mixed
Emptying,60.1,39.6,7,62,29,93.9,57.3,Fiberglass Igloo-b,Mixed
Non Emptying,60,32.6,4,64.3,27.4,86,43.2,Silvertop-a,Non Recyclable
Non Emptying,73.6,64,3,57.8,35.7,54.5,30.4,Fiberglass Igloo-b,Non Recyclable
Non Emptying,53.3,31.2,5,54,37.1,30.3,28.3,Lindstrom City,Recyclable
Emptying,90.5,65,6,60.1,24.6,95.1,57.5,BIM-3 FTI bottentomd,Mixed
Emptying,87.6,56.2,6,71.2,62.2,79.6,68.1,Fiberglass Igloo-a,Mixed
Emptying,95.3,51.1,9,88.9,52,36.9,20.6,Rectangular Farmland,Mixed
Non Emptying,33.9,25.5,1,71.6,35.6,72.3,30.3,Cubic,Mixed
Non Emptying,51.6,34.9,1,50.6,31,95,56.2,BIM-3 FTI bottentomd,Mixed
Emptying,81.6,44.4,6,97.9,65.2,89.6,44.5,Malmobehallare,Non Recyclable
Non Emptying,34.1,21.1,3,34.1,25.7,65,20.8,Diamond,Non Recyclable
Non Emptying,39.9,23.7,4,73.3,63.9,64.4,24,Cubic,Mixed
Emptying,70,44,6,81.8,41.3,51.7,31.1,Lindstrom-a,Non Recyclable
Non Emptying,74.6,61.3,2,75.7,62.2,64.5,50.6,Lindstrom-a,Non Recyclable
Non Emptying,67.8,53.9,5,61.6,25.6,61.4,56.4,Diamond,Mixed
Emptying,84.8,59.4,9,74.4,30.7,87.5,41.9,Accordion,Recyclable
Non Emptying,68.3,55.5,2,99.5,51.3,76.8,41.8,Diamond,Mixed
Emptying,77.4,44.9,6,67.9,55.5,88.8,42.7,BIM-3 FTI bottentomd,Recyclable
Emptying,92.8,58.3,8,67.5,58.4,74.8,43.2,Malmobehallare,Mixed
Emptying,66.3,37.4,6,79.9,63.8,70,32.4,Silvertop-a,Mixed
Emptying,75.5,33.6,6,37.8,26.6,32.7,21.6,Cubic,Recyclable
Non Emptying,53.9,30.2,3,62.9,32.2,76.6,60.4,Silvertop-b,Mixed
Emptying,81.3,52.6,6,93.7,58.6,63.7,58.9,Diamond,Recyclable
Non Emptying,71.9,65.6,5,61.6,52.8,84.2,45,Silvertop-b,Mixed
Emptying,92.9,53.8,6,97.7,54.9,98.4,57.4,Silvertop-a,Non Recyclable
Emptying,67.3,33.2,8,72.8,47.7,73.5,39.2,Diamond,Non Recyclable
Emptying,75.2,32.5,7,77.4,63.8,55.3,36.1,Silvertop-b,Non Recyclable
Non Emptying,56.1,38.7,1,70.7,49.7,69.1,52.5,Accordion,Recyclable
Non Emptying,34.6,21,3,54.4,36.9,61.3,30.3,Cubic,Recyclable
Emptying,94.6,68.6,9,81.3,50.1,39.9,25.5,Lindstrom-b,Non Recyclable
Non Emptying,92.7,55.1,9,63.9,50.2,71.8,61,Malmobehallare,Recyclable
Emptying,91.9,54.8,8,64.3,23,71,62.7,Cubic,Mixed
Non Emptying,65.3,22.6,7,75.1,61.2,62.8,28.4,BIM-3 FTI bottentomd,Mixed
Emptying,62.3,39.4,8,84.1,45,65.2,34.8,Cubic,Mixed
Emptying,70.9,35.3,7,73.9,68.8,62.3,56.1,Cubic,Non Recyclable
Non Emptying,74.7,65.7,1,68.9,34.5,84.1,47.7,Lindstrom-b,Mixed
Emptying,74.1,30.6,7,80,59.1,82,48,Silvertop-b,Recyclable
Non Emptying,75,64.9,5,66.4,56.4,82.4,60,Rectangular,Non Recyclable
Emptying,92.4,51,6,58.7,35,79.2,61.7,Accordion,Recyclable
Non Emptying,64.2,52.4,1,80.8,46.3,81.7,40.5,Silvertop-b,Mixed
Emptying,78.6,32.2,7,90.8,52.9,64.2,34.3,Malmobehallare,Non Recyclable
Emptying,61.7,27.9,7,71,34.4,32.5,24,Silvertop-a,Recyclable
Non Emptying,59.1,30.3,4,73.5,62.7,78.4,66.2,Fiberglass Igloo-a,Recyclable
Non Emptying,65.9,56.3,3,69.4,53.1,83.3,42.9,Diamond,Non Recyclable
Emptying,79.7,48.1,6,93.9,50.1,90,41.1,Diamond,Recyclable
Non Emptying,68.9,53.7,1,93.7,50.9,74.5,46,Accordion,Non Recyclable
Emptying,86.8,56.3,7,70.1,65.6,65.7,51.4,Cubic,Mixed
Non Emptying,64.2,50,2,69.6,54.3,93.5,52.8,Lindstrom City,Mixed
Emptying,73.6,34,6,72.2,64.1,35.3,21.1,Rectangular,Non Recyclable
Emptying,72,37.2,6,80.3,40.8,97,68.6,Lindstrom-a,Non Recyclable
Non Emptying,69.6,52.4,1,64.1,51.4,95.9,52.2,Rectangular Farmland,Mixed
Non Emptying,33.7,26.4,3,52.2,30.6,66,50.4,Cubic,Non Recyclable
Emptying,85.2,42.6,6,81.7,54.8,36.4,26.4,Fiberglass Igloo-b,Mixed
Emptying,74.8,32.7,9,72.1,34.6,77.1,37.2,Cubic,Mixed
Non Emptying,55.2,35.1,1,71,30.2,60.3,51.1,Accordion,Recyclable
Emptying,93.1,67.2,9,79.7,62.1,70,56.6,Fiberglass Igloo-a,Non Recyclable
Emptying,76.1,42.5,8,33.9,26.2,73.9,40.4,Silvertop-b,Non Recyclable
Non Emptying,55.1,36.1,1,66.1,21.4,36.9,26,Lindstrom City,Mixed
Non Emptying,56.7,33.2,2,79,33.1,63.4,57.5,Lindstrom-a,Non Recyclable
Non Emptying,58.2,30.4,4,52.5,30,89.5,55.2,Silvertop-b,Non Recyclable
Non Emptying,79.1,68.5,3,75.4,43,90.5,51.2,Lindstrom City,Recyclable
Emptying,99.9,66.9,9,81,42.2,72.2,41.7,Rectangular,Mixed
Non Emptying,38.4,21,2,75.6,34.8,79.9,47.6,Lindstrom-a,Non Recyclable
Non Emptying,31.5,23.7,3,68.6,26.8,91.8,62.5,Lindstrom City,Mixed
Emptying,85.5,42.6,6,51.9,35.1,74.5,42.9,Lindstrom-b,Recyclable
Non Emptying,35.6,22.2,5,86.3,42,61,39.2,Malmobehallare,Recyclable
Emptying,95.4,57.2,7,33.2,26.9,94.6,66.8,Fiberglass Igloo-b,Mixed
Emptying,75.8,41.5,6,88.6,51.7,65.4,50.7,Rectangular Farmland,Mixed
Non Emptying,50.7,35.3,3,34.7,25.4,73,62.1,Diamond,Non Recyclable
Emptying,60.2,28.2,6,73.3,36.6,65.4,37,Rectangular,Recyclable
Non Emptying,60.2,53.3,5,84.3,42,56.2,38.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,30.6,28.2,2,30.5,23.4,63.3,38.2,Lindstrom City,Non Recyclable
Non Emptying,77.1,60.9,3,40,25.8,67,56.9,Fiberglass Igloo-b,Non Recyclable
Non Emptying,73.3,61,4,34,22.9,92.9,61.3,BIM-3 FTI bottentomd,Non Recyclable
Emptying,83.6,42.2,7,79.5,46.8,80,42.5,Lindstrom-b,Mixed
Non Emptying,79.2,63.7,2,65.7,38.1,62,54.5,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,70,62.7,5,64.7,30.1,57.9,35.4,Lindstrom-b,Non Recyclable
Emptying,69.8,20,6,82.9,41.1,50,30.9,Fiberglass Igloo-a,Recyclable
Non Emptying,37.7,26.6,3,79.4,68.5,70.4,68.7,Fiberglass Igloo-a,Mixed
Emptying,97.6,51.3,6,74.6,61.3,62.9,33.6,Malmobehallare,Mixed
Emptying,60.2,32.9,6,75.4,30,78.6,34.3,Fiberglass Igloo-b,Recyclable
Non Emptying,37.4,22,2,66.5,55.9,93.8,50.3,Accordion,Recyclable
Emptying,95.2,53,9,61.9,22.4,78.5,35.8,Diamond,Mixed
Emptying,74.7,30.8,8,63.1,52.5,83.2,50.9,Lindstrom-a,Recyclable
Non Emptying,74.7,60.5,3,68,36.3,65.8,52.2,Rectangular Farmland,Recyclable
Emptying,92.6,50.4,9,60.8,51.7,85.4,42.8,Lindstrom-b,Mixed
Emptying,84.4,54,6,73.6,32.5,71.3,62.5,Lindstrom-b,Non Recyclable
Non Emptying,68.7,56.8,5,70.9,68.7,62,24.7,Lindstrom-a,Non Recyclable
Non Emptying,51.1,35.8,3,75.3,48.4,76.6,35.3,Silvertop-b,Recyclable
Emptying,71.9,31.4,9,76.9,67.8,53.4,35,Lindstrom-a,Recyclable
Emptying,81.2,41.8,7,72.7,30.4,67.6,23.8,Accordion,Mixed
Non Emptying,68,56.5,1,82.1,41.4,65.9,29.5,Diamond,Recyclable
Non Emptying,72.6,65.1,5,95.6,61.7,91,69.4,Silvertop-a,Mixed
Non Emptying,31.6,28.5,5,94.6,53.4,67.3,30.9,Rectangular Farmland,Recyclable
Non Emptying,78.9,61.1,4,63.6,23.9,31,25.1,Fiberglass Igloo-a,Mixed
Emptying,82.3,43.1,8,81.4,56.1,77.2,64.8,Lindstrom-b,Mixed
Emptying,61,21.6,9,72.7,42.7,62.6,50.9,Fiberglass Igloo-b,Non Recyclable
Emptying,82.5,40.7,8,64.4,38.8,57.1,31.5,Silvertop-a,Recyclable
Non Emptying,68,56.2,3,55.7,37.6,54.9,37.9,Accordion,Mixed
Non Emptying,75.4,61.9,3,60.4,51.5,75.2,33.5,Silvertop-a,Recyclable
Non Emptying,77.8,66.1,5,62.4,55.7,53.1,30.2,Lindstrom-b,Mixed
Emptying,81.7,55.1,8,60.2,51,64.7,54,Accordion,Recyclable
Emptying,62.2,25.9,8,63.7,37.7,87.1,43.2,Lindstrom-b,Recyclable
Emptying,93,66.4,8,97.4,56.4,31.2,24.1,Cubic,Recyclable
Emptying,97.5,50.5,6,86.4,42.9,60.8,58.4,Silvertop-a,Non Recyclable
Emptying,66.4,36,6,64.7,38.5,70.8,64.1,Lindstrom-a,Non Recyclable
Emptying,97.2,52.5,8,37.7,27.8,63.6,26.1,Lindstrom-a,Non Recyclable
Non Emptying,69.4,53,3,95,62.9,64.7,29.2,Diamond,Non Recyclable
Emptying,89.1,51.1,7,60.6,38.3,81.8,43,Malmobehallare,Recyclable
Non Emptying,35.3,28.7,5,72.1,60.2,83.2,44,Silvertop-b,Non Recyclable
Emptying,78.7,38.4,7,73,67,37.5,23.1,Diamond,Recyclable
Emptying,77.6,42.4,6,87.6,52.3,37.8,28.3,Rectangular Farmland,Non Recyclable
Non Emptying,71.5,63.2,4,72.1,30.5,63.5,23.5,Lindstrom-b,Non Recyclable
Non Emptying,61,50.5,2,77.1,68.4,77.9,44.2,Lindstrom-b,Non Recyclable
Non Emptying,37.6,25.4,5,64.2,21.9,77.6,34.6,Fiberglass Igloo-b,Recyclable
Emptying,95.6,60.8,9,83.7,44.2,69.7,52.3,Fiberglass Igloo-a,Mixed
Non Emptying,88.7,42.2,7,69.4,23.7,39.4,20.2,Lindstrom-b,Non Recyclable
Emptying,70.4,38,8,64,51.2,70.9,66.3,Lindstrom City,Non Recyclable
Emptying,66.2,22.3,6,77.2,47.4,80,66.1,Lindstrom-a,Recyclable
Emptying,66.9,27.6,6,51.6,32.6,70.8,64.2,Lindstrom-a,Mixed
Non Emptying,31.3,28,4,76.5,32.9,33.1,22.7,Cubic,Recyclable
Emptying,89.2,49.1,8,71.3,64.1,65.6,25.9,Diamond,Non Recyclable
Emptying,72,39.4,9,75.8,65.7,60.3,50,Rectangular Farmland,Mixed
Emptying,69.8,21.3,8,57.8,38.7,52.1,33.6,Lindstrom-b,Non Recyclable
Non Emptying,68.2,54.2,1,52,38.6,32,20.3,Accordion,Mixed
Non Emptying,31.8,27.9,2,60.2,39.1,74,43.6,Silvertop-a,Recyclable
Emptying,86.4,46.8,7,38.3,26.1,80.8,51.2,Rectangular,Mixed
Non Emptying,64.9,20.7,9,60.7,55.2,62.9,23.6,Lindstrom City,Recyclable
Emptying,68.6,21.2,6,61.7,53.3,55.8,37.2,Fiberglass Igloo-a,Non Recyclable
Non Emptying,68.6,31.3,9,87.2,52.7,52.3,30,Lindstrom-b,Non Recyclable
Non Emptying,50.8,32.8,5,74.8,46.4,78.4,35.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,60.6,57.4,2,63.6,33.4,91,55.7,Fiberglass Igloo-b,Non Recyclable
Emptying,99.7,51.7,7,33.9,23.8,64.5,56.2,Accordion,Mixed
Non Emptying,78.4,61.4,4,51.1,31.7,80,46.8,Cubic,Recyclable
Emptying,69.5,35.5,6,73.9,39.5,33.3,28.1,Malmobehallare,Recyclable
Non Emptying,35.4,27.5,2,80.4,56.4,79.7,60.8,Fiberglass Igloo-b,Mixed
Non Emptying,62.4,58.7,1,91.3,51.8,85,48.9,BIM-3 FTI bottentomd,Recyclable
Emptying,61.7,29.6,6,83.6,52.6,61,20.4,Silvertop-b,Recyclable
Emptying,62.9,36.9,6,60.8,22.6,75,60,Silvertop-a,Non Recyclable
Non Emptying,77.5,67.8,5,93.1,58.4,60,22.1,Fiberglass Igloo-b,Non Recyclable
Non Emptying,66.6,50.3,2,33,20,60,32.5,Diamond,Non Recyclable
Non Emptying,33,26.3,5,74.4,64.7,62.5,50.2,Lindstrom City,Mixed
Non Emptying,77.2,66.1,5,97.6,58.3,69.2,23.2,Lindstrom-b,Recyclable
Non Emptying,37,25.3,1,62.4,55.3,53.3,37.4,Lindstrom-b,Non Recyclable
Non Emptying,52.7,34.8,3,73.7,60.8,35.8,24.5,Lindstrom-b,Mixed
Emptying,61,38,9,51.4,37.3,80.6,49.8,Lindstrom-b,Non Recyclable
Emptying,63.9,28.1,6,88.4,43.5,94.1,56.5,Rectangular Farmland,Recyclable
Non Emptying,73.1,61.9,1,99.2,52.8,50.2,30.6,Fiberglass Igloo-a,Non Recyclable
Non Emptying,54.9,31.5,5,79.6,32.2,81.3,45.2,Malmobehallare,Mixed
Non Emptying,37.1,26.5,4,37.4,21.5,79.6,30.8,Malmobehallare,Non Recyclable
Non Emptying,70.4,67,3,66.7,57.5,86.8,41.9,Cubic,Non Recyclable
Non Emptying,50.2,34.6,2,98.3,65.5,90.1,63,Silvertop-a,Mixed
Non Emptying,70.1,63.9,5,65.9,57.6,94.6,63.8,Silvertop-b,Mixed
Emptying,80.6,44.9,6,64.9,39.9,74,33.2,Fiberglass Igloo-a,Non Recyclable
Emptying,92.8,51.6,6,70.1,60.4,65.3,58.8,Silvertop-b,Recyclable
Emptying,60.8,32.1,8,79.4,45.6,77.6,65,Silvertop-b,Recyclable
Emptying,99,53.7,6,61.3,21.8,59.7,36.3,Cubic,Recyclable
Non Emptying,32.7,23.2,2,62.8,22.7,66.8,24.9,Malmobehallare,Recyclable
Non Emptying,34.4,25,5,67.1,30.2,97.9,56.1,Rectangular,Recyclable
Emptying,73,33.5,9,71.6,31.8,54.2,32.5,Fiberglass Igloo-b,Recyclable
Emptying,60,20.5,9,69.5,56.7,99.6,51.4,Rectangular,Recyclable
Emptying,73.8,36.1,7,72.2,43.1,88,40,Diamond,Mixed
Non Emptying,76.2,62.2,4,88.8,53.1,97.2,56.6,Silvertop-b,Mixed
Non Emptying,60,53.5,4,62.8,29.9,65.7,22.5,BIM-3 FTI bottentomd,Recyclable
Emptying,63.1,38.5,6,96.8,63.2,53.3,36.3,Cubic,Non Recyclable
Emptying,89.9,43.5,7,63.5,38.2,90.3,62,Rectangular,Non Recyclable
Emptying,87.8,47.1,8,65.2,51.9,78.1,38.8,Lindstrom-a,Non Recyclable
Non Emptying,70.4,63.6,5,68.1,20.6,62.3,24.1,Rectangular,Mixed
Non Emptying,63.3,52.1,4,52.4,33.1,93,57.8,Cubic,Mixed
Non Emptying,31.7,22.8,4,73.5,67.4,98.7,53.7,Lindstrom-a,Mixed
Non Emptying,67.3,57.5,5,52.5,34.2,82.2,43.9,Malmobehallare,Non Recyclable
Non Emptying,51.1,37.8,3,63,20.7,32.3,22.4,Fiberglass Igloo-b,Mixed
Emptying,86.4,41,9,82.8,50.9,71,38.7,Lindstrom-a,Recyclable
Emptying,78.1,43.4,9,64.3,28.7,67.4,20.1,Diamond,Mixed
Emptying,83.8,58.7,9,30,26.3,31.2,20.7,Fiberglass Igloo-b,Mixed
Emptying,65.7,30.5,8,51.7,32.8,63.9,21.7,Silvertop-a,Mixed
Non Emptying,67.4,54.3,5,90.8,54.5,34.6,20.7,Malmobehallare,Mixed
Emptying,89.8,49.4,9,72.2,45.8,32.2,22.1,Fiberglass Igloo-b,Mixed
Emptying,73.1,35.1,6,73.4,60.5,35.5,22.8,Fiberglass Igloo-b,Mixed
Non Emptying,56.6,31.3,1,91.9,50.2,30,22.6,Cubic,Non Recyclable
Non Emptying,34.2,25.4,4,63.2,53.9,70,34.9,Lindstrom City,Non Recyclable
Emptying,93.3,50.8,9,39,22.8,61.1,21.9,Rectangular Farmland,Mixed
Emptying,99.2,57.1,6,63.5,55,40,23.9,Rectangular Farmland,Non Recyclable
Non Emptying,33.1,20.4,4,78.8,63.1,68.6,53.3,Diamond,Recyclable
Non Emptying,75,63.4,1,67,23.7,64.9,33,Silvertop-b,Recyclable
Non Emptying,53.3,30.5,5,69.7,54.8,72.7,62.2,Cubic,Non Recyclable
Non Emptying,60.5,53.6,4,34.8,26,66.1,54.1,Diamond,Recyclable
Emptying,96,53.5,9,69.5,54.8,33.9,22.8,Lindstrom-a,Non Recyclable
Emptying,81.6,43.9,7,98.3,69,65.4,57.8,Silvertop-b,Mixed
Emptying,92.2,63.6,8,82.9,42.5,71.2,63,Rectangular Farmland,Recyclable
Emptying,94.7,58.8,8,53.1,31.6,56.4,35.8,Malmobehallare,Non Recyclable
Emptying,68.2,32.3,9,88.7,44.4,95.6,58.4,Silvertop-b,Non Recyclable
Emptying,87.2,42.7,6,81,50.2,81.1,58,Accordion,Recyclable
Emptying,77.8,31.2,9,84.4,50.6,76.6,30.2,Malmobehallare,Mixed
Non Emptying,56.9,33.2,2,99.7,53.3,63.1,31.4,BIM-3 FTI bottentomd,Non Recyclable
Emptying,68.9,27.1,7,77.1,44.2,31.4,22.6,Diamond,Mixed
Non Emptying,71.1,64.6,5,63.4,31.5,33.1,21.2,Fiberglass Igloo-b,Mixed
Non Emptying,33.4,28.8,1,53.3,30.4,60,36.6,Diamond,Recyclable
Non Emptying,54.1,31,1,58.5,36.1,36.1,23.3,Lindstrom City,Recyclable
Emptying,61.4,34.6,8,71.9,36.7,64.2,54.3,Fiberglass Igloo-a,Mixed
Non Emptying,67.1,55.4,5,32.1,22.5,63.5,20.7,Fiberglass Igloo-a,Mixed
Non Emptying,79.9,65.5,3,81.1,55.6,50.7,30.4,Lindstrom-a,Recyclable
Emptying,96.8,52.4,7,34.5,27.9,53.9,38.6,Lindstrom-b,Non Recyclable
Emptying,69.9,35.7,8,53.5,32.1,56.1,33.3,Fiberglass Igloo-a,Recyclable
Emptying,91.4,51.2,6,68.9,52.6,77.1,67.3,Lindstrom-a,Mixed
Non Emptying,71,62.6,5,54.9,35.6,56.9,38.7,Lindstrom-a,Recyclable
Emptying,79.7,32.8,7,78.5,44,73.8,31.4,Diamond,Mixed
Emptying,82.7,42.5,6,98.8,61.4,68.6,23.6,Fiberglass Igloo-b,Recyclable
Non Emptying,51.2,32.4,3,78.1,36.8,77.8,30.5,BIM-3 FTI bottentomd,Mixed
Non Emptying,52.8,31.3,4,89.2,43.9,51.1,35.2,Lindstrom-b,Non Recyclable
Emptying,89.4,59.5,6,90.6,62.7,33.2,27.6,Lindstrom City,Recyclable
Emptying,99.8,58.2,6,37,26.9,66.8,54.6,Accordion,Mixed
Non Emptying,59,38.1,1,99.9,50.3,52.2,31.8,Lindstrom-a,Non Recyclable
Non Emptying,59.3,35.8,2,61.6,56.1,84.2,49,Cubic,Recyclable
Non Emptying,76.9,62.8,5,64.4,59,37.3,22.9,Silvertop-b,Recyclable
Non Emptying,33.2,23.1,4,61.2,53.6,30.5,24.6,Silvertop-b,Recyclable
Non Emptying,39.3,24.9,2,71.5,34.4,50.3,36.6,Lindstrom-b,Mixed
Emptying,75.9,32.5,6,90,68,80.9,45.1,Lindstrom City,Non Recyclable
Emptying,77.2,47,6,79.8,30.2,59,35.8,Silvertop-b,Mixed
Non Emptying,37.8,23.4,4,70.2,34.1,77.4,61.2,Rectangular,Non Recyclable
Non Emptying,32,20.6,2,70.3,38.8,70.9,62.3,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,76.2,65,4,70.7,64.5,63.9,51.9,Diamond,Mixed
Emptying,73.9,44.8,7,74.1,30.4,38.2,28,Fiberglass Igloo-b,Mixed
Non Emptying,78.9,60.7,2,56.6,32.5,97.7,64.3,BIM-3 FTI bottentomd,Recyclable
Non Emptying,31.4,20.5,2,61.9,56.5,60.6,53.5,Rectangular,Non Recyclable
Non Emptying,53.8,31.9,1,68.4,33,64.9,51.9,Diamond,Recyclable
Non Emptying,55.6,35.4,5,93.3,63.3,63.1,52.5,Lindstrom-a,Recyclable
Emptying,74.6,36.5,9,77.7,61.1,33.2,24.9,Fiberglass Igloo-b,Mixed
Emptying,89.1,41.3,6,81.8,46.5,62.6,57.4,Fiberglass Igloo-a,Recyclable
Emptying,65.9,37.2,6,30.4,28.8,89.4,58.1,Lindstrom-b,Mixed
Emptying,97.2,50.1,6,74.4,62.8,72.9,35.6,Silvertop-a,Recyclable
Non Emptying,31.5,23.6,1,91.2,54,53.9,30.9,BIM-3 FTI bottentomd,Mixed
Non Emptying,38.3,24,2,35.2,28.3,65.1,20,Rectangular,Recyclable
Emptying,60.3,32.2,6,70,25.2,77.5,37.7,Lindstrom-b,Mixed
Emptying,81.5,49,6,50,35.4,71,65.5,Lindstrom-b,Recyclable
Non Emptying,67.4,50.4,1,70.1,63.7,34.3,23.2,Silvertop-b,Recyclable
Non Emptying,58.9,31.2,4,71.8,61.5,62.2,28.9,BIM-3 FTI bottentomd,Non Recyclable
Emptying,79.1,31.6,9,73.8,60.8,87.7,40.7,Malmobehallare,Mixed
Emptying,86,40.6,9,74.6,47.6,52.7,30.3,Lindstrom City,Mixed
Non Emptying,70.8,60.6,1,30.3,21.3,59.1,31,Rectangular,Recyclable
Non Emptying,57.4,34.6,3,76,31,83.8,59.8,Diamond,Non Recyclable
Emptying,90.5,62.7,9,76.9,66.9,33.4,26.3,BIM-3 FTI bottentomd,Mixed
Non Emptying,77.8,62,1,31.1,24.9,54,32.3,Lindstrom-b,Mixed
Emptying,63.5,34.5,7,52,31.7,91.4,51.9,Fiberglass Igloo-b,Non Recyclable
Non Emptying,34.2,25.2,4,69.7,38.6,33,21.7,BIM-3 FTI bottentomd,Recyclable
Emptying,70.9,38.3,9,84.3,40.7,50.4,38.1,Lindstrom-b,Recyclable
Non Emptying,30.5,27.8,3,77.6,40.2,73.1,62.6,Accordion,Recyclable
Non Emptying,61.5,54.6,4,76,44.8,84.5,50.8,Accordion,Recyclable
Non Emptying,74,60.3,3,71.5,65.2,60.8,28,Silvertop-b,Mixed
Emptying,63.9,34.9,6,91.6,68.6,76.7,63.7,Silvertop-a,Non Recyclable
Emptying,66.8,35.2,8,75.4,60.9,87.8,40.6,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,61.9,55.5,5,81.3,45.4,97.7,68.8,Lindstrom-a,Recyclable
Emptying,94.3,66.6,8,82.2,40.5,95.1,59.3,Cubic,Recyclable
Non Emptying,61.4,50.4,3,88.7,50.8,30.1,24.7,Silvertop-b,Mixed
Emptying,69.5,20,8,63.1,53.2,73.6,63.7,Fiberglass Igloo-a,Recyclable
Non Emptying,52.4,35.6,1,32.5,22.7,71.4,33.4,Fiberglass Igloo-b,Non Recyclable
Non Emptying,78.5,68.2,4,85.7,45.6,79.3,67.4,Silvertop-b,Recyclable
Non Emptying,56.8,35.8,1,83.2,53.5,82.8,42.1,Malmobehallare,Recyclable
Non Emptying,78,66.3,3,68,37.5,93.6,65.7,Accordion,Recyclable
Emptying,82.8,45.5,7,77.9,32.7,39.1,28.9,Rectangular,Recyclable
Non Emptying,64.7,55.6,4,73.2,31.7,77,48,Lindstrom City,Mixed
Emptying,78.7,47.2,7,58.3,35.1,66.5,36.8,Cubic,Non Recyclable
Non Emptying,70,51.1,5,38.4,25.2,87,57,Malmobehallare,Recyclable
Non Emptying,53.1,33,2,64.4,32.9,33,22.8,Rectangular,Non Recyclable
Emptying,98,63,6,84.6,47.8,70,62.4,Lindstrom-a,Mixed
Emptying,84.9,59.1,9,90.7,64.6,70.6,67.4,Silvertop-a,Recyclable
Emptying,67.2,22.1,9,96.1,65.1,91.9,51.7,Lindstrom City,Mixed
